Lock Chip,Over Blade,Main/Metal Blade (CX) / Blade (UX/BX),Assist Blade,Ratchet,Bit,Points,Sample Size (Win Count),Combo Rank,Rank Change,Lock Chip Usage (Sample Size),Over Blade Usage (Sample Size),Main/Metal Blade (CX) / Blade (UX/BX) Usage (Sample Size),Assist Blade Usage (Sample Size),Ratchet Usage (Sample Size),Bit Usage (Sample Size),Blade Rank,Assist Blade Rank,Ratchet Rank,Bit Rank,Combo ID,,Lock Chip Name,Lock Chip Points,,Over Blade Name,Over Blade Points,,Main/Metal Blade (CX) / Blade (UX/BX) Name,Main/Metal Blade (CX) / Blade (UX/BX) Points,,Assist Blade Name,Assist Blade Points,,Ratchet Name,Ratchet Points,,Bit Name,Bit Points
,,WizardRod,,1-60,Hexa,233,233,1,—,,,447,,539,354,2,,1,2,None-None-WizardRod-None-1-60-Hexa,,Metal,76,,TestBreak,1,,WizardRod,447,,Heavy,91,,1-60,539,,Hexa,354
,,SharkScale,,1-70,LowRush,100,100,2,—,,,472,,198,366,1,,4,1,None-None-SharkScale-None-1-70-LowRush,,Plastic,61,,,,,SharkScale,472,,Wheel,22,,1-70,198,,LowRush,366
,,SharkScale,,3-60,LowRush,57,57,3,⬆️ 1,,,472,,279,366,1,,3,1,None-None-SharkScale-None-3-60-LowRush,,TestBahamut,1,,,,,CobaltDragoon,116,,Jaggy,12,,3-60,279,,Elevate,117
,,CobaltDragoon,,5-60,Elevate,50,50,4,⬇️ 1,,,116,,101,117,4,,6,7,None-None-CobaltDragoon-None-5-60-Elevate,,,,,,,,MeteorDragoon,104,,Free,4,,5-60,101,,Level,153
,,CobaltDragoon,,9-60,Elevate,37,37,5,⬆️ 8,,,116,,383,117,4,,2,7,None-None-CobaltDragoon-None-9-60-Elevate,,,,,,,,SilverWolf,87,,Assault,1,,9-60,383,,FreeBall,197
,,MeteorDragoon,,7-60,Level,34,34,6,⬆️ 1,,,104,,184,153,6,,5,5,None-None-MeteorDragoon-None-7-60-Level,,,,,,,,AeroPegasus,178,,Dual,1,,7-60,184,,Rush,256
,,WizardRod,,1-60,FreeBall,31,31,7,⬇️ 2,,,447,,539,197,2,,1,4,None-None-WizardRod-None-1-60-FreeBall,,,,,,,,PhoenixWing,105,,Round,1,,6-60,53,,Ball,43
,,WizardRod,,9-60,FreeBall,30,30,8,⬆️ 3,,,447,,383,197,2,,2,4,None-None-WizardRod-None-9-60-FreeBall,,,,,,,,Blast,95,,Zillion,1,,7-70,52,,LowOrb,85
,,SilverWolf,,9-60,FreeBall,29,29,9,⬆️ 14,,,87,,383,197,8,,2,4,None-None-SilverWolf-None-9-60-FreeBall,,,,,,,,ClockMirage,37,,Charge,1,,4-50,48,,Kick,153
,,WizardRod,,6-60,Hexa,28,28,10,⬇️ 3,,,447,,53,354,2,,7,2,None-None-WizardRod-None-6-60-Hexa,,,,,,,,HoverWyvern,20,,Slash,2,,7-55,27,,Jolt,74
,,MeteorDragoon,,7-70,Level,25,25,11,⬇️ 4,,,104,,52,153,6,,8,5,None-None-MeteorDragoon-None-7-70-Level,,,,,,,,MummyCurse,50,,Bumper,1,,1-50,24,,Point,38
,,SharkScale,,1-60,Rush,24,24,12,⬇️ 6,,,472,,539,256,1,,1,3,None-None-SharkScale-None-1-60-Rush,,,,,,,,KnightMail,19,,TestKnuckle,1,,9-70,49,,UnderNeedle,19
,,AeroPegasus,,1-60,Rush,21,21,13,⬆️ 1,,,178,,539,256,3,,1,3,None-None-AeroPegasus-None-1-60-Rush,,,,,,,,OrochiCluster,19,,,,,4-55,11,,UnderFlat,9
,,SharkScale,,3-60,Rush,20,20,14,⬆️ 5,,,472,,279,256,1,,3,3,None-None-SharkScale-None-3-60-Rush,,,,,,,,GolemRock,37,,,,,1-80,9,,Wedge,39
,,SharkScale,,1-60,LowRush,20,20,14,⬇️ 4,,,472,,539,366,1,,1,1,None-None-SharkScale-None-1-60-LowRush,,,,,,,,TyrannoBeat,25,,,,,3-70,13,,RubberAccel,8
,,SharkScale,,9-60,FreeBall,17,17,16,⬆️ 6,,,472,,383,197,1,,2,4,None-None-SharkScale-None-9-60-FreeBall,,,,,,,,ScorpioSpear,22,,,,,7-80,3,,Taper,17
,,AeroPegasus,,3-60,Rush,17,17,16,⬆️ 42,,,178,,279,256,3,,3,3,None-None-AeroPegasus-None-3-60-Rush,,,,,,,,SamuraiCalibur,14,,,,,2-60,4,,WallBall,10
,,AeroPegasus,,7-60,Rush,16,16,18,⬆️ 27,,,178,,184,256,3,,5,3,None-None-AeroPegasus-None-7-60-Rush,,,,,,,,SamuraiSteel,2,,,,,9-80,6,,Unite,12
,,WizardRod,,9-60,Ball,15,15,19,⬇️ 5,,,447,,383,43,2,,2,10,None-None-WizardRod-None-9-60-Ball,,,,,,,,SamuraiSaber,7,,,,,3-85,4,,Zap,9
,,PhoenixWing,,3-60,Rush,15,15,19,⬇️ 1,,,105,,279,256,5,,3,3,None-None-PhoenixWing-None-3-60-Rush,,,,,,,,SharkEdge,14,,,,,6-70,3,,Cyclone,4
,,PhoenixWing,,7-60,Rush,14,14,21,⬆️ 37,,,105,,184,256,5,,5,3,None-None-PhoenixWing-None-7-60-Rush,,,,,,,,Flare,11,,,,,0-60,4,,LowFlat,7
,,WizardRod,,1-70,Hexa,13,13,22,⬇️ 8,,,447,,198,354,2,,4,2,None-None-WizardRod-None-1-70-Hexa,,,,,,,,RedHulk,4,,,,,5-70,5,,Flat,6
,,AeroPegasus,,1-60,LowRush,13,13,22,⬆️ 13,,,178,,539,366,3,,1,1,None-None-AeroPegasus-None-1-60-LowRush,,,,,,,,UnicornSting,6,,,,,3-80,3,,HighTaper,2
,,PhoenixWing,,1-60,Rush,13,13,22,⬆️ 8,,,105,,539,256,5,,1,3,None-None-PhoenixWing-None-1-60-Rush,,,,,,,,Volt,2,,,,,5-80,2,,Quake,1
,,WizardRod,,1-60,LowOrb,12,12,25,⬆️ 10,,,447,,539,85,2,,1,8,None-None-WizardRod-None-1-60-LowOrb,,,,,,,,ImpactDrake,8,,,,,9-65,1,,Orb,6
,,AeroPegasus,,1-60,Kick,12,12,25,⬆️ 5,,,178,,539,153,3,,1,5,None-None-AeroPegasus-None-1-60-Kick,,,,,,,,WhaleWave,5,,,,,4-60,4,,Dot,2
,,PhoenixWing,,3-60,LowRush,12,12,25,⬆️ 20,,,105,,279,366,5,,3,1,None-None-PhoenixWing-None-3-60-LowRush,,,,,,,,WizardArrow,3,,,,,M-85,3,,Glide,3
,,SharkScale,,7-60,LowRush,11,11,28,⬆️ 30,,,472,,184,366,1,,5,1,None-None-SharkScale-None-7-60-LowRush,,,,,,,,DranBuster,9,,,,,0-70,2,,DiskBall,1
,,SharkScale,,4-50,LowRush,11,11,28,⬇️ 16,,,472,,48,366,1,,10,1,None-None-SharkScale-None-4-50-LowRush,,,,,,,,TyrannoRoar,5,,,,,Test1-50,1,,GearPoint,3
Metal,,Blast,Heavy,9-60,Kick,11,11,28,New,,,95,91,383,153,7,1,2,5,Metal-None-Blast-Heavy-9-60-Kick,,,,,,,,CobaltDrake,8,,,,,,,,WallWedge,5
,,SharkScale,,9-60,LowOrb,10,10,31,⬆️ 14,,,472,,383,85,1,,2,8,None-None-SharkScale-None-9-60-LowOrb,,,,,,,,DragoonStorm,1,,,,,,,,Needle,1
,,AeroPegasus,,3-60,LowRush,10,10,31,⬆️ 78,,,178,,279,366,3,,3,1,None-None-AeroPegasus-None-3-60-LowRush,,,,,,,,KnightShield,3,,,,,,,,HighNeedle,1
,,ClockMirage,,7-55,FreeBall,10,10,31,⬆️ 14,,,37,,27,197,10,,11,4,None-None-ClockMirage-None-7-55-FreeBall,,,,,,,,Brave,5,,,,,,,,Vortex,2
